eps		a		it
-5		0.80	13
-5		0.81	13
-5		0.82	14
-5		0.83	14
-5		0.84	15
-5		0.85	15
-5		0.86	16
-5		0.87	17
-5		0.88	18
-5		0.89	19
-5		0.90	21
-5		0.91	22
-5		0.92	24
-5		0.93	26
-5		0.94	29
-5		0.95	33
-5		0.96	38
-5		0.97	45

-6		0.80	18
-6		0.81	19
-6		0.82	19
-6		0.83	20
-6		0.84	21
-6		0.85	23
-6		0.86	24
-6		0.87	25
-6		0.88	27
-6		0.89	29
-6		0.90	32
-6		0.91	34
-6		0.92	38
-6		0.93	42
-6		0.94	48
-6		0.95	55
-6		0.96	66
-6		0.97	83

-7		0.80	23
-7		0.81	24
-7		0.82	25
-7		0.83	27
-7		0.84	28
-7		0.85	30
-7		0.86	32
-7		0.87	34
-7		0.88	36
-7		0.89	39
-7		0.90	43
-7		0.91	47
-7		0.92	52
-7		0.93	58
-7		0.94	67
-7		0.95	78
-7		0.96	95
-7		0.97	121

-8		0.80	28
-8		0.81	30
-8		0.82	31
-8		0.83	33
-8		0.84	35
-8		0.85	37
-8		0.86	40
-8		0.87	42
-8		0.88	46
-8		0.89	49
-8		0.90	54
-8		0.91	59
-8		0.92	66
-8		0.93	74
-8		0.94	85
-8		0.95	101
-8		0.96	123
-8		0.97	159

-9		0.80	34
-9		0.81	35
-9		0.82	37
-9		0.83	39
-9		0.84	42
-9		0.85	44
-9		0.86	47
-9		0.87	51
-9		0.88	55
-9		0.89	59
-9		0.90	65
-9		0.91	71
-9		0.92	80
-9		0.93	90
-9		0.94	104
-9		0.95	123
-9		0.96	151
-9		0.97	197

-10		0.80	39
-10		0.81	41
-10		0.82	43
-10		0.83	46
-10		0.84	48
-10		0.85	52
-10		0.86	55
-10		0.87	59
-10		0.88	64
-10		0.89	69
-10		0.90	76
-10		0.91	84
-10		0.92	94
-10		0.93	106
-10		0.94	123
-10		0.95	146
-10		0.96	180
-10		0.97	235

-11		0.80	44
-11		0.81	47
-11		0.82	49
-11		0.83	52
-11		0.84	55
-11		0.85	59
-11		0.86	63
-11		0.87	68
-11		0.88	73
-11		0.89	79
-11		0.90	87
-11		0.91	96
-11		0.92	108
-11		0.93	122
-11		0.94	142
-11		0.95	168
-11		0.96	208
-11		0.97	273

-12		0.80	50
-12		0.81	52
-12		0.82	55
-12		0.83	58
-12		0.84	62
-12		0.85	66
-12		0.86	71
-12		0.87	76
-12		0.88	82
-12		0.89	89
-12		0.90	98
-12		0.91	109
-12		0.92	122
-12		0.93	138
-12		0.94	160
-12		0.95	191
-12		0.96	236
-12		0.97	311

-13		0.80	55
-13		0.81	58
-13		0.82	61
-13		0.83	65
-13		0.84	69
-13		0.85	73
-13		0.86	78
-13		0.87	84
-13		0.88	91
-13		0.89	99
-13		0.90	109
-13		0.91	121
-13		0.92	136
-13		0.93	154
-13		0.94	179
-13		0.95	214
-13		0.96	265
-13		0.97	349

-14		0.80	60
-14		0.81	64
-14		0.82	67
-14		0.83	71
-14		0.84	76
-14		0.85	81
-14		0.86	86
-14		0.87	93
-14		0.88	101
-14		0.89	110
-14		0.90	120
-14		0.91	133
-14		0.92	150
-14		0.93	170
-14		0.94	198
-14		0.95	236
-14		0.96	293
-14		0.97	387

-15		0.80	66
-15		0.81	69
-15		0.82	73
-15		0.83	77
-15		0.84	82
-15		0.85	88
-15		0.86	94
-15		0.87	101
-15		0.88	110
-15		0.89	120
-15		0.90	131
-15		0.91	146
-15		0.92	164
-15		0.93	186
-15		0.94	217
-15		0.95	259
-15		0.96	321
-15		0.97	425

-16		0.80	71
-16		0.81	75
-16		0.82	79
-16		0.83	84
-16		0.84	89
-16		0.85	95
-16		0.86	102
-16		0.87	110
-16		0.88	119
-16		0.89	130
-16		0.90	142
-16		0.91	158
-16		0.92	177
-16		0.93	203
-16		0.94	236
-16		0.95	281
-16		0.96	350
-16		0.97	462
