eps		a		it
-5		0.80	16
-5		0.81	16
-5		0.82	17
-5		0.83	18
-5		0.84	19
-5		0.85	20
-5		0.86	21
-5		0.87	22
-5		0.88	24
-5		0.89	25
-5		0.90	27
-5		0.91	30
-5		0.92	33
-5		0.93	36
-5		0.94	41
-5		0.95	47
-5		0.96	55
-5		0.97	69

-6		0.80	21
-6		0.81	22
-6		0.82	23
-6		0.83	24
-6		0.84	26
-6		0.85	27
-6		0.86	29
-6		0.87	31
-6		0.88	33
-6		0.89	35
-6		0.90	38
-6		0.91	42
-6		0.92	47
-6		0.93	52
-6		0.94	60
-6		0.95	69
-6		0.96	84
-6		0.97	107

-7		0.80	26
-7		0.81	28
-7		0.82	29
-7		0.83	31
-7		0.84	32
-7		0.85	34
-7		0.86	37
-7		0.87	39
-7		0.88	42
-7		0.89	46
-7		0.90	50
-7		0.91	54
-7		0.92	61
-7		0.93	68
-7		0.94	78
-7		0.95	92
-7		0.96	112
-7		0.97	145

-8		0.80	32
-8		0.81	33
-8		0.82	35
-8		0.83	37
-8		0.84	39
-8		0.85	42
-8		0.86	44
-8		0.87	48
-8		0.88	51
-8		0.89	56
-8		0.90	61
-8		0.91	67
-8		0.92	75
-8		0.93	84
-8		0.94	97
-8		0.95	115
-8		0.96	141
-8		0.97	183

-9		0.80	37
-9		0.81	39
-9		0.82	41
-9		0.83	43
-9		0.84	46
-9		0.85	49
-9		0.86	52
-9		0.87	56
-9		0.88	60
-9		0.89	66
-9		0.90	72
-9		0.91	79
-9		0.92	88
-9		0.93	100
-9		0.94	116
-9		0.95	137
-9		0.96	169
-9		0.97	221

-10		0.80	42
-10		0.81	45
-10		0.82	47
-10		0.83	50
-10		0.84	53
-10		0.85	56
-10		0.86	60
-10		0.87	64
-10		0.88	70
-10		0.89	76
-10		0.90	83
-10		0.91	92
-10		0.92	102
-10		0.93	116
-10		0.94	135
-10		0.95	160
-10		0.96	197
-10		0.97	259

-11		0.80	48
-11		0.81	50
-11		0.82	53
-11		0.83	56
-11		0.84	60
-11		0.85	63
-11		0.86	68
-11		0.87	73
-11		0.88	79
-11		0.89	86
-11		0.90	94
-11		0.91	104
-11		0.92	116
-11		0.93	132
-11		0.94	153
-11		0.95	183
-11		0.96	226
-11		0.97	297

-12		0.80	53
-12		0.81	56
-12		0.82	59
-12		0.83	62
-12		0.84	66
-12		0.85	71
-12		0.86	76
-12		0.87	81
-12		0.88	88
-12		0.89	96
-12		0.90	105
-12		0.91	116
-12		0.92	130
-12		0.93	148
-12		0.94	172
-12		0.95	205
-12		0.96	254
-12		0.97	335

-13		0.80	58
-13		0.81	62
-13		0.82	65
-13		0.83	69
-13		0.84	73
-13		0.85	78
-13		0.86	83
-13		0.87	90
-13		0.88	97
-13		0.89	106
-13		0.90	116
-13		0.91	129
-13		0.92	144
-13		0.93	164
-13		0.94	191
-13		0.95	228
-13		0.96	282
-13		0.97	373

-14		0.80	64
-14		0.81	67
-14		0.82	71
-14		0.83	75
-14		0.84	80
-14		0.85	85
-14		0.86	91
-14		0.87	98
-14		0.88	106
-14		0.89	116
-14		0.90	127
-14		0.91	141
-14		0.92	158
-14		0.93	180
-14		0.94	210
-14		0.95	250
-14		0.96	311
-14		0.97	411

-15		0.80	69
-15		0.81	73
-15		0.82	77
-15		0.83	81
-15		0.84	87
-15		0.85	92
-15		0.86	99
-15		0.87	107
-15		0.88	115
-15		0.89	126
-15		0.90	138
-15		0.91	153
-15		0.92	172
-15		0.93	196
-15		0.94	228
-15		0.95	273
-15		0.96	339
-15		0.97	448

-16		0.80	74
-16		0.81	78
-16		0.82	83
-16		0.83	88
-16		0.84	94
-16		0.85	100
-16		0.86	107
-16		0.87	116
-16		0.88	124
-16		0.89	136
-16		0.90	150
-16		0.91	166
-16		0.92	186
-16		0.93	213
-16		0.94	246
-16		0.95	295
-16		0.96	367
-16		0.97	487

